"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"d:\DATN\Server\src\const\AppConstant.js", "JavaScript", 10, 0, 0, 0, 10
"d:\DATN\Server\src\const\const.js", "JavaScript", 0, 0, 0, 1, 1
"d:\DATN\Server\src\controller\authCtl.js", "JavaScript", 137, 0, 41, 14, 192
"d:\DATN\Server\src\controller\baseCtl.js", "JavaScript", 41, 0, 0, 4, 45
"d:\DATN\Server\src\controller\bidCtl.js", "JavaScript", 146, 0, 0, 0, 146
"d:\DATN\Server\src\controller\cart.js", "JavaScript", 69, 0, 0, 1, 70
"d:\DATN\Server\src\controller\category.js", "JavaScript", 37, 0, 0, 1, 38
"d:\DATN\Server\src\controller\messageCtrl.js", "JavaScript", 106, 0, 0, 5, 111
"d:\DATN\Server\src\controller\order.js", "JavaScript", 281, 0, 0, 4, 285
"d:\DATN\Server\src\controller\product.js", "JavaScript", 369, 0, 16, 8, 393
"d:\DATN\Server\src\controller\reviewCtl.js", "JavaScript", 24, 0, 0, 2, 26
"d:\DATN\Server\src\controller\statiticCtl.js", "JavaScript", 398, 0, 0, 11, 409
"d:\DATN\Server\src\controller\userCtl.js", "JavaScript", 225, 0, 0, 9, 234
"d:\DATN\Server\src\models\cart.js", "JavaScript", 11, 0, 0, 1, 12
"d:\DATN\Server\src\models\category.js", "JavaScript", 7, 0, 3, 7, 17
"d:\DATN\Server\src\models\message.js", "JavaScript", 10, 0, 0, 2, 12
"d:\DATN\Server\src\models\order.js", "JavaScript", 31, 0, 0, 5, 36
"d:\DATN\Server\src\models\product.js", "JavaScript", 22, 0, 1, 3, 26
"d:\DATN\Server\src\models\review.js", "JavaScript", 13, 0, 2, 3, 18
"d:\DATN\Server\src\models\seller_biz.js", "JavaScript", 14, 0, 0, 1, 15
"d:\DATN\Server\src\models\user.js", "JavaScript", 21, 0, 0, 2, 23
"d:\DATN\Server\src\models\userMessage.js", "JavaScript", 8, 0, 0, 2, 10
"d:\DATN\Server\src\models\user_token.js", "JavaScript", 8, 0, 2, 3, 13
"d:\DATN\Server\src\route\auth.js", "JavaScript", 8, 0, 1, 1, 10
"d:\DATN\Server\src\route\cart.js", "JavaScript", 7, 0, 3, 0, 10
"d:\DATN\Server\src\route\category.js", "JavaScript", 7, 0, 1, 0, 8
"d:\DATN\Server\src\route\forgot-pw.js", "JavaScript", 7, 0, 0, 1, 8
"d:\DATN\Server\src\route\index.js", "JavaScript", 188, 0, 11, 13, 212
"d:\DATN\Server\src\route\message.js", "JavaScript", 8, 0, 3, 0, 11
"d:\DATN\Server\src\route\order.js", "JavaScript", 8, 0, 1, 2, 11
"d:\DATN\Server\src\route\product.js", "JavaScript", 14, 0, 1, 1, 16
"d:\DATN\Server\src\route\refreshToken.js", "JavaScript", 38, 0, 0, 4, 42
"d:\DATN\Server\src\route\seller.js", "JavaScript", 27, 0, 2, 0, 29
"d:\DATN\Server\src\route\user.js", "JavaScript", 14, 0, 1, 1, 16
"d:\DATN\Server\src\server.js", "JavaScript", 59, 0, 1, 3, 63
"d:\DATN\Server\src\service\saveFile.js", "JavaScript", 15, 0, 0, 1, 16
"d:\DATN\Server\src\utils\authorize.js", "JavaScript", 80, 0, 0, 15, 95
"d:\DATN\Server\src\utils\bid.js", "JavaScript", 65, 0, 1, 0, 66
"d:\DATN\Server\src\utils\generateChangePwToken.js", "JavaScript", 29, 0, 0, 1, 30
"d:\DATN\Server\src\utils\generateToken.js", "JavaScript", 27, 0, 0, 2, 29
"d:\DATN\Server\src\utils\message.js", "JavaScript", 26, 0, 0, 1, 27
"d:\DATN\Server\src\utils\saveFile.js", "JavaScript", 26, 0, 1, 1, 28
"d:\DATN\Server\src\utils\sendOTPEmail.js", "JavaScript", 99, 0, 0, 10, 109
"d:\DATN\Server\src\utils\validationSchema.js", "JavaScript", 83, 0, 0, 6, 89
"d:\DATN\Server\src\utils\verifyRefreshToken.js", "JavaScript", 22, 0, 0, 3, 25
"d:\DATN\Server\src\views\payment_success.ejs", "HTML", 0, 39, 1, 1, 41
"Total", "-", 2845, 39, 93, 156, 3133